GEO_ID,GEO_FIPS,NAME,S0601_C01_001E,S0601_C01_001M,S0601_C01_013E,S0601_C01_013M,S0601_C01_014E,S0601_C01_014M,S0601_C01_015E,S0601_C01_015M,S0601_C01_016E,S0601_C01_016M,S0601_C01_017E,S0601_C01_017M,S0601_C01_018E,S0601_C01_018M,S0601_C01_019E,S0601_C01_019M,S0601_C01_020E,S0601_C01_020M,S0601_C01_021E,S0601_C01_021M,S0601_C01_022E,S0601_C01_022M,S0601_C01_052E,S0601_C01_052M
1400000U,06037575802,Census Tract 5758.02; Los Angeles County; California,4450,640,86.7,7.9,21.3,10.1,2.9,2,0.4,0.7,5.6,3.8,1.3,1.3,55.2,12,13.3,7.9,76.4,5.7,7.8,3.9,10.2,(X)
1400000U,06037575803,Census Tract 5758.03; Los Angeles County; California,2527,461,93.8,4.8,45.6,13.3,9.9,4.4,1.5,1.3,13.1,6.1,0,1.7,23.7,11.7,6.2,4.8,42,11.7,35.1,12.1,8,(X)
1400000U,06037575901,Census Tract 5759.01; Los Angeles County; California,3530,501,83.6,6.2,33.4,9.1,24.9,9.3,0.3,0.4,10.7,6,0,1.2,14.4,7.9,16.4,6.2,42.5,10,17.8,6.6,12.9,(X)
1400000U,06037575902,Census Tract 5759.02; Los Angeles County; California,4869,627,90.4,5.6,43.4,9,17.6,5.7,0,0.9,12,5.7,0,0.9,17.4,5,9.6,5.6,33.4,7.6,30.4,8.3,8.4,(X)
1400000U,06037576001,Census Tract 5760.01; Los Angeles County; California,6005,878,83.8,5.6,50.9,9,12.6,9.9,2.5,2.5,12,4.9,0,0.7,5.8,3.5,16.2,5.6,23.4,6.2,45.2,8.9,5.6,(X)
1400000U,06037576200,Census Tract 5762; Los Angeles County; California,5190,537,81.5,7.8,39.6,8.4,17.8,4,5.9,4.6,4.7,2.6,0,0.8,13.4,7.3,18.5,7.8,43.8,6.4,28.2,6.1,6.8,(X)
1400000U,06037576301,Census Tract 5763.01; Los Angeles County; California,4756,629,76.6,10.6,27.8,6.1,24.2,7.8,0.8,1,5.6,2.9,0.9,1.7,17.3,7.5,23.4,10.6,51.3,9.3,14.7,4.4,5.6,(X)
1400000U,06037576302,Census Tract 5763.02; Los Angeles County; California,2986,460,87.2,8.7,41.4,10.5,12.1,6.6,0,1.4,8.7,5.5,0,1.4,25,9.3,12.8,8.7,59.2,7.6,19.8,7.2,12.3,(X)
1400000U,06037576401,Census Tract 5764.01; Los Angeles County; California,3933,638,83.3,9.5,19.6,8.3,3.3,2.3,5.1,4.9,11.5,5.5,0,1.1,43.8,13.6,16.7,9.5,75.1,7.8,8.3,5,10,(X)
1400000U,06037576402,Census Tract 5764.02; Los Angeles County; California,4256,634,88.7,5.5,31.9,10.8,9.3,4.6,2.3,2.9,10.5,5.1,0.4,0.6,34.5,11.8,11.3,5.5,69.5,9.4,6.5,2.8,9,(X)
1400000U,06037576403,Census Tract 5764.03; Los Angeles County; California,4814,812,88.3,4.6,28.1,9.4,11.9,5.1,0.6,0.9,11.5,4.8,0.2,0.3,36,10.7,11.7,4.6,60.6,7.9,10,4.7,16.5,(X)
1400000U,06037576501,Census Tract 5765.01; Los Angeles County; California,2805,435,84.5,8.8,38,12.7,20.5,11.3,0,1.5,5,6.3,0.5,0.9,20.4,9.4,15.5,8.8,38,11.8,24.6,7,4.4,(X)
1400000U,06037576502,Census Tract 5765.02; Los Angeles County; California,4997,955,86.9,6.9,40.6,10.6,23.7,14.6,1.4,1.5,5.3,3.3,0,0.8,15.9,6.6,13.1,6.9,46.9,6.2,24.2,7,6.8,(X)
